Candidate 
Joe Biden
Bernie Sanders
Kamala Harris
Beto O Rourke
Elizabeth Warren
Amy Klobuchar
Kristen Gillibrand
Pete Buttigieg
Cory Booker
Julian Castro
Tulsi Gabbard
Andrew Yang
John Hickenlooper
Jay Inslee
Seth Moulton
Michael Bloomberg
Tim Ryan
Eric Swalwell
Deval Patrick
Tom Steyer
Steve Bullock
Howard Schultz 
Marianne Williamson
Mike Gravel
Wayne Messam
Bill Weld
John Delaney
Michael Bennet
Bill de Blasio
Donald Trump
