Rank,Source,NumUniqueArticles
1,thehill.com,5423
2,www.cnn.com,4392
3,www.foxnews.com,3817
4,www.politico.com,2871
5,www.washingtonpost.com,2600
6,www.washingtonexaminer.com,2493
7,nypost.com,1796
8,www.nytimes.com,1712
