Rank,Source,NumUniqueArticles
308,www.jsonline.com,24
309,www.eagletribune.com,24
310,www.out.com,24
311,jacobinmag.com,24
312,thenevadaindependent.com,24
313,siouxcityjournal.com,24
314,www.pastemagazine.com,24
315,www.nbclosangeles.com,24
316,www.complex.com,24
317,www.ctpost.com,24
318,spectator.us,23
319,1010wins.radio.com,23
320,www.cfr.org,23
321,triblive.com,23
322,www.frontpagemag.com,23
323,www.greenvilleonline.com,23
324,www.aspentimes.com,23
325,www.wowt.com,23
326,www.cnet.com,23
327,www.seacoastonline.com,23
328,www.teenvogue.com,23
329,www.deseretnews.com,23
330,sanfrancisco.cbslocal.com,23
331,www.bizjournals.com,23
332,6abc.com,23
333,www.texasmonthly.com,22
334,religionnews.com,22
335,www.live5news.com,22
336,crosscut.com,22
337,www.economist.com,22
338,nj1015.com,22
339,sputniknews.com,22
340,www.lamag.com,22
341,www.clickondetroit.com,22
342,abc7chicago.com,22
343,www.courier-journal.com,21
344,www.kxly.com,21
345,www.alternet.org,21
346,abovethelaw.com,21
347,pix11.com,21
348,inthesetimes.com,21
349,www.phillyvoice.com,21
350,www.burlingtonfreepress.com,21
351,wlos.com,21
352,www.columbian.com,20
353,remezcla.com,20
354,www.ktvu.com,20
355,www.syracuse.com,20
356,www.ocregister.com,20
357,www.pennlive.com,20
358,www.townandcountrymag.com,19
359,nyc.streetsblog.org,19
360,www.wyff4.com,19
361,nowthisnews.com,19
362,www.dallasobserver.com,19
363,www.fox9.com,19
364,www.bustle.com,19
365,www.vulture.com,19
366,fox8.com,19
367,www.vnews.com,19
368,www.richmond.com,18
369,dailyiowan.com,18
370,www.kitv.com,18
371,hillreporter.com,18
372,www.gothamgazette.com,18
373,wpde.com,18
374,www.orlandosentinel.com,18
375,www.abc57.com,18
376,www.kron4.com,18
377,www.kare11.com,18
378,dfw.cbslocal.com,18
379,www.theweek.com,18
380,www.fresnobee.com,18
381,www.sandiegouniontribune.com,18
382,kutv.com,18
383,insideclimatenews.org,17
384,www.heraldnet.com,17
385,newsmaven.io,17
386,www.cosmopolitan.com,17
387,buffalonews.com,17
388,www.eater.com,17
389,www.heraldonline.com,17
390,techcrunch.com,17
391,www.tribtoday.com,17
392,www.ncronline.org,17
393,www.timesrepublican.com,17
394,www.ifiberone.com,17
395,arstechnica.com,17
396,kpax.com,17
397,www.fool.com,17
398,businessjournaldaily.com,17
399,www1.cbn.com,17
400,ew.com,17
401,www.kvia.com,17
402,www.mcall.com,17
403,fox59.com,17
404,wqad.com,17
405,www.ksl.com,17
406,www.kesq.com,17
407,www.coloradoindependent.com,16
408,www.miaminewtimes.com,16
409,www.kuow.org,16
410,www.irishtimes.com,16
411,www.conwaydailysun.com,16
412,www.fox4news.com,16
413,www.kcra.com,16
414,www.kulr8.com,16
415,www.kolotv.com,16
416,sports.yahoo.com,16
417,www.wataugademocrat.com,16
418,local12.com,16
419,mondoweiss.net,15
420,www.vogue.com,15
421,www.opensecrets.org,15
422,thetandd.com,15
423,www.ebony.com,15
424,www.foxla.com,15
425,www.kimt.com,15
426,www.washingtonblade.com,15
427,www.coloradoan.com,15
428,www.csmonitor.com,15
429,www.engadget.com,15
430,ktvo.com,15
431,www.independent.ie,15
432,bigislandnow.com,15
433,abc6onyourside.com,15
434,www.nbcbayarea.com,15
435,www.ktnv.com,15
436,13wham.com,15
437,www.channel3000.com,15
438,www.wdel.com,15
439,www.iowastatedaily.com,14
440,friendlyatheist.patheos.com,14
441,www.glamour.com,14
442,www.kgw.com,14
443,www.towleroad.com,14
444,www.insidesources.com,14
445,therivardreport.com,14
446,kwwl.com,14
447,www.grandforksherald.com,14
448,www.kqed.org,14
449,www.desertsun.com,14
450,kimatv.com,14
451,fox6now.com,14
452,morningconsult.com,14
453,www.courthousenews.com,14
454,www.nbcsandiego.com,14
455,www.propublica.org,14
456,www.peninsuladailynews.com,14
457,www.wivb.com,14
458,foreignpolicy.com,14
459,www.itemlive.com,13
460,thetakeout.com,13
461,www.citylab.com,13
462,mynews4.com,13
463,www.bostonmagazine.com,13
464,cleantechnica.com,13
