Domain,Unique Articles,Total Occurrences
dcist.com,3,11
www.westsiderag.com,3,10
www.idahopress.com,3,10
www.hppr.org,3,10
news.ballotpedia.org,3,10
midhudsonnews.com,3,10
www.wwlp.com,3,9
www.wptv.com,3,9
www.lansingstatejournal.com,3,9
learningenglish.voanews.com,3,9
www.weau.com,3,8
www.swiowanewssource.com,3,8
www.good.is,3,8
www.fox16.com,3,8
wsvn.com,3,8
newbostonpost.com,3,8
lancasteronline.com,3,8
economictimes.indiatimes.com,3,8
www.wrvo.org,3,7
www.witn.com,3,7
www.waer.org,3,7
www.nashvillescene.com,3,7
www.breakingviews.com,3,7
www.americanthinker.com,3,7
thelocalne.ws,3,7
marblehead.wickedlocal.com,3,7
lasentinel.net,3,7
www.wesh.com,3,6
www.newspressnow.com,3,6
www.localnews8.com,3,6
www.keranews.org,3,6
www.heraldtribune.com,3,6
www.fox5dc.com,3,6
www.citizen-times.com,3,6
www.cdapress.com,3,6
www.wjbf.com,3,5
www.winknews.com,3,5
www.wane.com,3,5
www.kpbs.org,3,5
www.dailyherald.com,3,5
news.gallup.com,3,5
hannity.com,3,5
www.wuwm.com,3,4
www.wgal.com,3,4
www.recordonline.com,3,4
www.dailymail.co.uk,3,4
www.buzzfeed.com,3,4
politicalwire.com,3,4
ftw.usatoday.com,3,4
www.wbtw.com,3,3
www.sportingnews.com,3,3
www.pymnts.com,3,3
www.newstatesman.com,3,3
www.missoulacurrent.com,3,3
www.dw.com,3,3
www.chinookobserver.com,3,3
www.caledonianrecord.com,3,3
www.battlecreekenquirer.com,3,3
georgetown.wickedlocal.com,3,3
sprudge.com,2,122
www.hot97.com,2,86
www.hawaiipublicradio.org,2,57
www.gctelegram.com,2,56
www.al-monitor.com,2,48
www.wsws.org,2,46
www.weny.com,2,46
www.naacp.org,2,46
www.interviewmagazine.com,2,44
www.wacotrib.com,2,41
www.armytimes.com,2,41
thepolitic.org,2,41
www.nbc11news.com,2,40
www.kpq.com,2,40
www.fairmontsentinel.com,2,40
www.onegreenplanet.org,2,39
www.dailycal.org,2,39
news.northeastern.edu,2,39
ktoe.com,2,38
rocketswire.usatoday.com,2,37
www.wxxinews.org,2,36
www.graydc.com,2,36
www.cleveland19.com,2,34
alphanewsmn.com,2,34
jewishjournal.com,2,33
hbr.org,2,33
beverly.wickedlocal.com,2,32
sentinelcolorado.com,2,31
www.stanforddaily.com,2,30
cornellsun.com,2,30
www.wdbj7.com,2,29
www.readingeagle.com,2,29
www.ksbw.com,2,29
www.wwnytv.com,2,28
amp.usatoday.com,2,27
www.pri.org,2,26
www.brooklynpaper.com,2,26
thebulletin.org,2,26
news.harvard.edu,2,26
247sports.com,2,25
www.wapt.com,2,24
lobelog.com,2,24
expo.nj.com,2,24
www.thereflector.com,2,23
www.almasdarnews.com,2,23
pamplinmedia.com,2,23
ethereumworldnews.com,2,23
cryptoslate.com,2,23
www.crainsdetroit.com,2,22
www.oswegocountynewsnow.com,2,21
www.newtondailynews.com,2,21
www.ebar.com,2,21
www.dbknews.com,2,21
pitchbook.com,2,21
www.wrestlinginc.com,2,20
www.popularmechanics.com,2,20
whoradio.iheart.com,2,20
arktimes.com,2,20
www.wdio.com,2,19
www.niemanlab.org,2,19
www.govexec.com,2,19
www.cantonrep.com,2,19
msmagazine.com,2,19
www.wmbfnews.com,2,18
www.erienewsnow.com,2,18
www.biography.com,2,18
spectrumnews1.com,2,18
news.bloombergenvironment.com,2,18
www.yourtewksburytoday.com,2,17
www.ky3.com,2,17
www.israelhayom.com,2,17
video.vice.com,2,17
economics21.org,2,17
www.gainesvilleregister.com,2,16
www.wsaz.com,2,15
www.redding.com,2,15
www.koaa.com,2,15
www.azfamily.com,2,15
www.1011now.com,2,15
vineyardgazette.com,2,15
www.ncnewsonline.com,2,14
www.journalexpress.net,2,14
www.housingwire.com,2,14
www.governing.com,2,14
thisisreno.com,2,14
rssfeeds.usatoday.com,2,14
blockclubchicago.org,2,14
www.sj-r.com,2,13
fox40.com,2,13
cbs4local.com,2,13
capitalandmain.com,2,13
www.wtoc.com,2,12
www.phoenixnewtimes.com,2,12
www.oaoa.com,2,12
www.losangelesblade.com,2,12
www.keyt.com,2,12
www.christianheadlines.com,2,12
thriveglobal.com,2,12
foxbaltimore.com,2,12
972mag.com,2,12
www.thisisinsider.com,2,11
www.pressrepublican.com,2,11
www.gaystarnews.com,2,11
salem.wickedlocal.com,2,11
mustreadalaska.com,2,11
kdal610.com,2,11
jis.gov.jm,2,11
digital.vpr.net,2,11
www.wect.com,2,10
www.middleeastmonitor.com,2,10
www.ksro.com,2,10
www.kptv.com,2,10
www.inverse.com,2,10
www.6sqft.com,2,10
world.wng.org,2,10
thefulcrum.us,2,10
mb.ntd.com,2,10
ktvz.com,2,10
giantswire.usatoday.com,2,10
elkodaily.com,2,10
www.wnct.com,2,9
www.timesfreepress.com,2,9
www.statenews.org,2,9
www.southernminn.com,2,9
www.observertoday.com,2,9
www.normantranscript.com,2,9
www.news.iastate.edu,2,9
www.ktuu.com,2,9
www.goskagit.com,2,9
www.defenseone.com,2,9
www.capitalgazette.com,2,9
www.abc10.com,2,9
nhlabornews.com,2,9
keyt.com,2,9
io9.gizmodo.com,2,9
www.wonderwall.com,2,8
www.wnycstudios.org,2,8
www.scpr.org,2,8
www.oneidadispatch.com,2,8
www.newsindiatimes.com,2,8
www.indianagazette.com,2,8
www.foxcarolina.com,2,8
www.dailyrecordnews.com,2,8
www.chillicothegazette.com,2,8
www.charlestonchronicle.net,2,8
www.benzinga.com,2,8
twocents.lifehacker.com,2,8
news.stlpublicradio.org,2,8
news.bloomberglaw.com,2,8
loudwire.com,2,8
celebrityinsider.org,2,8
brooklyneagle.com,2,8
www.washingtoncitypaper.com,2,7
www.thepacker.com,2,7
www.springfieldnewssun.com,2,7
www.project-syndicate.org,2,7
www.penncapital-star.com,2,7
www.outsideonline.com,2,7
www.mycolumbiabasin.com,2,7
www.montrosepress.com,2,7
www.fox2detroit.com,2,7
www.elitedaily.com,2,7
www.berkeleyside.com,2,7
washingtoninformer.com,2,7
thezebra.org,2,7
pv-magazine-usa.com,2,7
newsok.com,2,7
harvardpolitics.com,2,7
connecticut.news12.com,2,7
civileats.com,2,7
cityandstateny.com,2,7
www.wtrf.com,2,6
www.thenewsherald.com,2,6
www.livescience.com,2,6
www.kwqc.com,2,6
www.kunr.org,2,6
www.kpvi.com,2,6
www.jhunewsletter.com,2,6
www.hrc.org,2,6
www.greenbaypressgazette.com,2,6
www.goodmorningamerica.com,2,6
www.fox29.com,2,6
www.civilized.life,2,6
weartv.com,2,6
ksby.com,2,6
kotaku.com,2,6
abc17news.com,2,6
www.wvtm13.com,2,5
www.philanthropy.com,2,5
www.mikebloomberg.com,2,5
www.meritalk.com,2,5
www.ksdk.com,2,5
www.kmov.com,2,5
www.keyc.com,2,5
www.houstonpublicmedia.org,2,5
www.hcn.org,2,5
www.ft.com,2,5
www.free-times.com,2,5
www.dailytarheel.com,2,5
www.btrtoday.com,2,5
www.bothell-reporter.com,2,5
seekingalpha.com,2,5
glenwoodguardian.com,2,5
dnews.com,2,5
www.yakimaherald.com,2,4
www.wctrib.com,2,4
www.wbap.com,2,4
www.thedailyworld.com,2,4
www.splicetoday.com,2,4
www.registerguard.com,2,4
www.radio.com,2,4
www.newsadvance.com,2,4
www.lgbtqnation.com,2,4
www.kark.com,2,4
www.kaaltv.com,2,4
www.govtech.com,2,4
www.dailyprogress.com,2,4
www.broadcastingcable.com,2,4
www.biospace.com,2,4
www.b100.com,2,4
www.27east.com,2,4
topsfield.wickedlocal.com,2,4
theathletic.com,2,4
rapidcityjournal.com,2,4
lareviewofbooks.org,2,4
kxlh.com,2,4
kval.com,2,4
fox11online.com,2,4
blogs.mprnews.org,2,4
appleinsider.com,2,4
abc7amarillo.com,2,4
abc.go.com,2,4
www.wsoctv.com,2,3
www.wnd.com,2,3
www.westernmassnews.com,2,3
www.wcnc.com,2,3
www.stormlakepilottribune.com,2,3
www.sequimgazette.com,2,3
www.niagara-gazette.com,2,3
www.newscentermaine.com,2,3
www.mmamania.com,2,3
www.lehighvalleylive.com,2,3
www.lawfareblog.com,2,3
www.kxlf.com,2,3
www.kivitv.com,2,3
www.kget.com,2,3
www.kentucky.com,2,3
www.kbtx.com,2,3
www.journalgazette.net,2,3
www.jambase.com,2,3
www.issaquahreporter.com,2,3
www.chicagomaroon.com,2,3
www.altpress.com,2,3
westchester.news12.com,2,3
theoutsidegame.com,2,3
northandover.wickedlocal.com,2,3
newstalkkgvo.com,2,3
kvoa.com,2,3
kticradio.com,2,3
gloucester.wickedlocal.com,2,3
cruxnow.com,2,3
boxford.wickedlocal.com,2,3
wydaily.com,2,2
www.zdnet.com,2,2
www.yourcentralvalley.com,2,2
www.wpbf.com,2,2
www.whsv.com,2,2
www.wehoville.com,2,2
www.wearecentralpa.com,2,2
www.wdtn.com,2,2
www.visaliatimesdelta.com,2,2
www.virginiamn.com,2,2
www.ttnews.com,2,2
www.thesunchronicle.com,2,2
www.the-review.com,2,2
www.smartcitiesdive.com,2,2
www.sgvtribune.com,2,2
www.sanluisobispo.com,2,2
www.qchron.com,2,2
www.nwaonline.com,2,2
www.nbcchicago.com,2,2
www.iwf.org,2,2
www.heraldextra.com,2,2
www.greenwichsentinel.com,2,2
www.fox23.com,2,2
www.fox19.com,2,2
www.fox13memphis.com,2,2
www.clevescene.com,2,2
www.cbs19news.com,2,2
www.berkshireeagle.com,2,2
www.beckershospitalreview.com,2,2
www.albanyherald.com,2,2
www.adn.com,2,2
wtkr.com,2,2
legalinsurrection.com,2,2
foxtrotalpha.jalopnik.com,2,2
foxreno.com,2,2
edsource.org,2,2
adequateman.deadspin.com,2,2
abc57.com,2,2
9to5mac.com,2,2
www.foreignaffairs.com,1,155
theconversation.com,1,105
www.capegazette.com,1,42
www.explorebigsky.com,1,41
www.thecoastnews.com,1,40
www.lionsroar.com,1,40
www.loudountimes.com,1,39
www.theglobalist.com,1,38
www.mmafighting.com,1,38
theberkshireedge.com,1,37
dailyknicks.com,1,36
www.inkstonenews.com,1,33
sojo.net,1,33
fortwaynesnbc.com,1,33
www.floridatoday.com,1,32
bowdoinorient.com,1,32
www.camera.org,1,31
www.theadvertiser.com,1,30
radiichina.com,1,30
www.thevillager.com,1,27
www.mitchellrepublic.com,1,27
www.abajournal.com,1,27
thegrayzone.com,1,27
methowvalleynews.com,1,27
fox42kptm.com,1,27
theundefeated.com,1,26
ogn.theonion.com,1,26
www.wpr.org,1,25
www.floridaphoenix.com,1,25
news.littlesis.org,1,25
www.wyomingnews.com,1,24
www.chroniclesmagazine.org,1,24
romesentinel.com,1,24
www.menshealth.com,1,22
www.bellingcat.com,1,22
americanindependent.com,1,22
www.nysun.com,1,21
www.independent.com,1,21
www.sharonherald.com,1,20
www.kyoutv.com,1,20
willamette.edu,1,20
onemileatatime.com,1,20
americanfreepress.net,1,20
www.thenewamerican.com,1,19
www.thehofstrachronicle.com,1,19
www.starherald.com,1,19
www.kazu.org,1,19
news.mit.edu,1,19
www.theleafchronicle.com,1,18
www.freightwaves.com,1,18
www.ctnewsjunkie.com,1,18
www.businessinsider.in,1,18
www.bakersfield.com,1,18
qns.com,1,18
napavalleyregister.com,1,18
hpherald.com,1,18
www.wabi.tv,1,17
krdo.com,1,17
arkvalleyvoice.com,1,17
www.wfxg.com,1,16
www.myarklamiss.com,1,16
red.msudenver.edu,1,16
la.eater.com,1,16
comicbook.com,1,16
www.dl-online.com,1,15
www.libertynation.com,1,14
www.kake.com,1,14
www.csindy.com,1,14
www.5280.com,1,14
modernfarmer.com,1,14
foxsportsradio.iheart.com,1,14
filtermag.org,1,14
federalnewsnetwork.com,1,14
www.sciencefriday.com,1,13
www.news12.com,1,13
www.knoe.com,1,13
www.hamilton.edu,1,13
www.colorlines.com,1,13
www.coloradopols.com,1,13
religionandpolitics.org,1,13
millennialpolitics.co,1,13
humanevents.com,1,13
easthamptonstar.com,1,13
allhiphop.com,1,13
www.wwaytv3.com,1,12
www.theladders.com,1,12
www.siouxlandproud.com,1,12
www.ozarksfirst.com,1,12
www.hometownsource.com,1,12
www.goodnewsnetwork.org,1,12
www.goal.com,1,12
www.energymanagertoday.com,1,12
ny.eater.com,1,12
news.co.cr,1,12
energynews.us,1,12
chiefexecutive.net,1,12
biologicaldiversity.org,1,12
azcapitoltimes.com,1,12
asbarez.com,1,12
apps.bostonglobe.com,1,12
957thegame.radio.com,1,12
www.wmcactionnews5.com,1,11
www.rockawave.com,1,11
www.registercitizen.com,1,11
www.multichannel.com,1,11
www.gosanangelo.com,1,11
www.casino.org,1,11
www.businesswire.com,1,11
wreg.com,1,11
whcuradio.com,1,11
power1051.iheart.com,1,11
pen.org,1,11
kilkennynow.ie,1,11
jerseydigs.com,1,11
blokt.com,1,11
blackpressusa.com,1,11
www.wsjm.com,1,10
www.politico.eu,1,10
www.palmbeachdailynews.com,1,10
www.onlinepokerreport.com,1,10
www.nevadabusiness.com,1,10
www.journalnow.com,1,10
www.greenfieldreporter.com,1,10
www.bdtonline.com,1,10
www.actionnetwork.com,1,10
www.abccolumbia.com,1,10
stpetecatalyst.com,1,10
kduz.com,1,10
coastalcourier.com,1,10
alamosanews.com,1,10
www.wnpr.org,1,9
www.wfmz.com,1,9
www.wate.com,1,9
www.monroenow.com,1,9
www.gaycitynews.nyc,1,9
www.gamesindustry.biz,1,9
www.episcopalnewsservice.org,1,9
www.dissentmagazine.org,1,9
www.care2.com,1,9
www.bicycling.com,1,9
tass.com,1,9
sf.curbed.com,1,9
now.tufts.edu,1,9
madamenoire.com,1,9
jewishweek.timesofisrael.com,1,9
indianewengland.com,1,9
coindoo.com,1,9
www.techspot.com,1,8
www.seattlemag.com,1,8
www.sanjoseinside.com,1,8
www.salina.com,1,8
www.pix11.com,1,8
www.peoplesworld.org,1,8
www.mandatory.com,1,8
www.cltampa.com,1,8
www.caribbeannationalweekly.com,1,8
www.beaumontenterprise.com,1,8
www.austin360.com,1,8
whowhatwhy.org,1,8
wesleyanargus.com,1,8
shadowproof.com,1,8
lakeplacidnews.com,1,8
kfyo.com,1,8
blog.norml.org,1,8
www.wxii12.com,1,7
www.railwayage.com,1,7
www.politicususa.com,1,7
www.nrtoday.com,1,7
www.news-press.com,1,7
www.nationalgeographic.com,1,7
www.nashvillepost.com,1,7
www.kxxv.com,1,7
www.grubstreet.com,1,7
www.easternecho.com,1,7
www.dcourier.com,1,7
www.dailycaller.com,1,7
williamsrecord.com,1,7
voicesofmontereybay.org,1,7
news.stthomas.edu,1,7
hamodia.com,1,7
fox43.com,1,7
cuindependent.com,1,7
astoriapost.com,1,7
www.wytv.com,1,6
www.wktv.com,1,6
www.timescitizen.com,1,6
www.thecrimson.com,1,6
www.netsdaily.com,1,6
www.metrowestdailynews.com,1,6
www.mediafiledc.com,1,6
www.kyma.com,1,6
www.kxlh.com,1,6
www.kwit.org,1,6
www.jamestownsun.com,1,6
www.indiawest.com,1,6
www.greenmatters.com,1,6
www.centredaily.com,1,6
www.browndailyherald.com,1,6
www.alligator.org,1,6
washington.cbslocal.com,1,6
verdict.justia.com,1,6
tylerpaper.com,1,6
themighty.com,1,6
theislandnow.com,1,6
reclaimthenet.org,1,6
pagosadailypost.com,1,6
outbreaknewstoday.com,1,6
mitsloan.mit.edu,1,6
middleburycampus.com,1,6
kdkaradio.radio.com,1,6
clutchpoints.com,1,6
capitolweekly.net,1,6
www.wtap.com,1,5
www.wsaw.com,1,5
www.wave3.com,1,5
www.uscannenbergmedia.com,1,5
www.therepublic.com,1,5
www.thefencepost.com,1,5
www.tauntongazette.com,1,5
www.smh.com.au,1,5
www.recoilweb.com,1,5
www.pressofatlanticcity.com,1,5
www.policeone.com,1,5
www.paulickreport.com,1,5
www.njspotlight.com,1,5
www.newtownbee.com,1,5
www.news-journal.com,1,5
www.mywabashvalley.com,1,5
www.mrt.com,1,5
www.mankatofreepress.com,1,5
www.kswo.com,1,5
www.kcur.org,1,5
www.hudsonvalley360.com,1,5
www.fox21news.com,1,5
www.fairobserver.com,1,5
www.elpasoinc.com,1,5
www.comicsands.com,1,5
www.cbs58.com,1,5
www.alreporter.com,1,5
tnhdigital.com,1,5
thedcline.org,1,5
statehornet.com,1,5
seattle.eater.com,1,5
newsroom.howard.edu,1,5
nationalcenter.org,1,5
kmox.radio.com,1,5
globalnews.ca,1,5
foreignpolicyi.org,1,5
eos.org,1,5
e360.yale.edu,1,5
documentedny.com,1,5
dailycollegian.com,1,5
yaleglobal.yale.edu,1,4
www2.philly.com,1,4
www.xxlmag.com,1,4
www.wpsdlocal6.com,1,4
www.wkbw.com,1,4
www.winchesterstar.com,1,4
www.wickedlocal.com,1,4
www.thegrowthop.com,1,4
www.silverscreenandroll.com,1,4
www.sentinelcolorado.com,1,4
www.scmagazine.com,1,4
www.realcleareducation.com,1,4
www.pcgamer.com,1,4
www.mysuncoast.com,1,4
www.marinecorpstimes.com,1,4
www.malibutimes.com,1,4
www.madinamerica.com,1,4
www.latinousa.org,1,4
www.kxl.com,1,4
www.ksby.com,1,4
www.krcu.org,1,4
www.jewishpress.com,1,4
www.jewishledger.com,1,4
www.informnny.com,1,4
www.holycitysinner.com,1,4
www.hivplusmag.com,1,4
www.gwinnettdailypost.com,1,4
www.guampdn.com,1,4
www.faithwire.com,1,4
www.desmogblog.com,1,4
www.dailytribune.com,1,4
www.dailyastorian.com,1,4
www.crainscleveland.com,1,4
www.consumeraffairs.com,1,4
www.coastmountainnews.com,1,4
www.blufftontoday.com,1,4
www.blackpressusa.com,1,4
www.austindailyherald.com,1,4
www.alaskapublic.org,1,4
www.49erswebzone.com,1,4
washingtonstatewire.com,1,4
unothegateway.com,1,4
therepublicanstandard.com,1,4
theaggie.org,1,4
statescoop.com,1,4
pilotonline.com,1,4
orlando-politics.com,1,4
northdallasgazette.com,1,4
moneyandmarkets.com,1,4
licpost.com,1,4
knowledge.wharton.upenn.edu,1,4
jg-tc.com,1,4
jewishinsider.com,1,4
islandeyenews.com,1,4
insurancenewsnet.com,1,4
hiphopwired.com,1,4
globenewswire.com,1,4
dealbreaker.com,1,4
dailyhodl.com,1,4
blogs.ei.columbia.edu,1,4
austin.eater.com,1,4
artvoice.com,1,4
425business.com,1,4
www.yourbasin.com,1,3
www.wtsp.com,1,3
www.wlsam.com,1,3
www.wlbt.com,1,3
www.wicz.com,1,3
www.washtimesherald.com,1,3
www.ucpublicaffairs.com,1,3
www.tspr.org,1,3
www.trust.org,1,3
www.theunion.com,1,3
www.theprospectordaily.com,1,3
www.theoaklandpress.com,1,3
www.thebipartisanpress.com,1,3
www.thebatavian.com,1,3
www.tamatoledonews.com,1,3
www.stlawu.edu,1,3
www.sbnation.com,1,3
www.rte.ie,1,3
www.recordnet.com,1,3
www.recorder.com,1,3
www.pvbuzz.com,1,3
www.post-journal.com,1,3
www.oskaloosa.com,1,3
www.opslens.com,1,3
www.omakchronicle.com,1,3
www.oann.com,1,3
www.nwfdailynews.com,1,3
www.nrn.com,1,3
www.newsrecord.org,1,3
www.news4jax.com,1,3
www.newpraguetimes.com,1,3
www.myjournalcourier.com,1,3
www.metalinjection.net,1,3
www.marinij.com,1,3
www.mariettatimes.com,1,3
www.lockportjournal.com,1,3
www.landonbuford.com,1,3
www.kykernel.com,1,3
www.krcc.org,1,3
www.kingscountypolitics.com,1,3
www.justjared.com,1,3
www.itemonline.com,1,3
www.intomore.com,1,3
www.insurancejournal.com,1,3
www.hometownlife.com,1,3
www.fox32chicago.com,1,3
www.flyergroup.com,1,3
www.edie.net,1,3
www.delgazette.com,1,3
www.davidson.edu,1,3
www.dariennewsonline.com,1,3
www.dailylocal.com,1,3
www.ctvnews.ca,1,3
www.craigdailypress.com,1,3
www.brusselstimes.com,1,3
www.brownsvilleherald.com,1,3
www.belgrade-news.com,1,3
www.beefmagazine.com,1,3
wtvbam.com,1,3
wtov9.com,1,3
wskg.org,1,3
wibx950.com,1,3
westfaironline.com,1,3
weather.com,1,3
wearyourvoicemag.com,1,3
thelibertarianrepublic.com,1,3
theitem.com,1,3
sanjosespotlight.com,1,3
prairiestatewire.com,1,3
poptopnews.com,1,3
pinerivertimes.com,1,3
nulltx.com,1,3
news.vanderbilt.edu,1,3
melrose.wickedlocal.com,1,3
kiss108.iheart.com,1,3
kdwn.com,1,3
independentaustralia.net,1,3
hamilton.wickedlocal.com,1,3
guestofaguest.com,1,3
goldentranscript.net,1,3
dailymemphian.com,1,3
dailybruin.com,1,3
brainerddispatch.com,1,3
armenianweekly.com,1,3
argonautnews.com,1,3
aldianews.com,1,3
411mania.com,1,3
www.wunc.org,1,2
www.wtmj.com,1,2
www.wbtv.com,1,2
www.washington.edu,1,2
www.vibe.com,1,2
www.utilitydive.com,1,2
www.timesrecord.com,1,2
www.theitem.com,1,2
www.thehoya.com,1,2
www.thedickinsonpress.com,1,2
www.telegram.com,1,2
www.technologyreview.com,1,2
www.taosnews.com,1,2
www.slashgear.com,1,2
www.rfdtv.com,1,2
www.rentonreporter.com,1,2
www.redmond-reporter.com,1,2
www.pineandlakes.com,1,2
www.orlandoweekly.com,1,2
www.nuvo.net,1,2
www.nola.gov,1,2
www.news-sentinel.com,1,2
www.ncregister.com,1,2
www.missourinet.com,1,2
www.mi-reporter.com,1,2
www.lifenews.com,1,2
www.laprogressive.com,1,2
www.lajuntatribunedemocrat.com,1,2
www.kyivpost.com,1,2
www.kwbu.org,1,2
www.ktvh.com,1,2
www.japantimes.co.jp,1,2
www.inlander.com,1,2
www.ideastream.org,1,2
www.houstonherald.com,1,2
www.heraldpalladium.com,1,2
www.heraldmailmedia.com,1,2
www.healthaffairs.org,1,2
www.grandrapidsmn.com,1,2
www.goshennews.com,1,2
www.fbherald.com,1,2
www.emporiagazette.com,1,2
www.delcotimes.com,1,2
www.dailyiowegian.com,1,2
www.creators.com,1,2
www.conservativedailynews.com,1,2
www.columbiamissourian.com,1,2
www.colorado.edu,1,2
www.choteauacantha.com,1,2
www.chickashanews.com,1,2
www.campaignsandelections.com,1,2
www.boisestatepublicradio.org,1,2
www.blavity.com,1,2
www.azmirror.com,1,2
www.arabnews.com,1,2
www.americasquarterly.org,1,2
www.americas1stfreedom.org,1,2
www.akronschools.com,1,2
www.airforcemag.com,1,2
www.accuweather.com,1,2
wilmington.wickedlocal.com,1,2
wdet.org,1,2
washingtonpost.com,1,2
usa.streetsblog.org,1,2
thesimpsonian.com,1,2
taxfoundation.org,1,2
swampscott.wickedlocal.com,1,2
starlocalmedia.com,1,2
sports.mynorthwest.com,1,2
sludgefeed.com,1,2
shorenewsnetwork.com,1,2
sandhillsexpress.com,1,2
sacramento.cbslocal.com,1,2
real-leaders.com,1,2
qcitymetro.com,1,2
promarket.org,1,2
projects.newsday.com,1,2
peninsulapress.com,1,2
paleofuture.gizmodo.com,1,2
nola.gov,1,2
news.wsu.edu,1,2
mirrorspectator.com,1,2
manchester.wickedlocal.com,1,2
larrybrownsports.com,1,2
landonbuford.com,1,2
kristv.com,1,2
kfiam640.iheart.com,1,2
iowastartingline.com,1,2
insidehealthpolicy.com,1,2
highlandsranchherald.net,1,2
groknation.com,1,2
granitegazette.com,1,2
grandforksherald.com,1,2
gcrmag.com,1,2
duclarion.com,1,2
cbs4indy.com,1,2
buffaloreflex.com,1,2
breakingdefense.com,1,2
blogs.scientificamerican.com,1,2
bitcoinmagazine.com,1,2
billypenn.com,1,2
bgr.com,1,2
ballparkdigest.com,1,2
b-townblog.com,1,2
alaskalandmine.com,1,2
xconomy.com,1,1
www.ynetnews.com,1,1
www.yang2020.com,1,1
www.wvlt.tv,1,1
www.wusa9.com,1,1
www.wtol.com,1,1
www.wowktv.com,1,1
www.wmfe.org,1,1
www.wmagazine.com,1,1
www.wkrg.com,1,1
www.wifr.com,1,1
www.wibw.com,1,1
www.wellandgood.com,1,1
www.wbrc.com,1,1
www.wboc.com,1,1
www.wbir.com,1,1
www.wbez.org,1,1
www.wbay.com,1,1
www.watchdog.org,1,1
www.washingtonbeerblog.com,1,1
www.waff.com,1,1
www.voiceofmuscatine.com,1,1
www.voicenews.com,1,1
www.victoriaadvocate.com,1,1
www.underthebutton.com,1,1
www.tomsguide.com,1,1
www.tiogapublishing.com,1,1
www.timessentinel.com,1,1
www.timesleader.com,1,1
www.timesherald.com,1,1
www.timescall.com,1,1
www.therecordherald.com,1,1
www.theprogressnews.com,1,1
www.theobjectivestandard.com,1,1
www.thenorthernlight.org,1,1
www.thenonprofittimes.com,1,1
www.thenewsstar.com,1,1
www.theledger.com,1,1
www.theeagle.com,1,1
www.thedailynewsonline.com,1,1
www.thecannabist.co,1,1
www.theblockcrypto.com,1,1
www.thebiglead.com,1,1
www.texomashomepage.com,1,1
www.texarkanagazette.com,1,1
www.tcpalm.com,1,1
www.sunherald.com,1,1
www.suncommunitynews.com,1,1
www.steamboatpilot.com,1,1
www.statesmanjournal.com,1,1
www.statepress.com,1,1
www.siliconvalley.com,1,1
www.shoshonenewspress.com,1,1
www.sentinelandenterprise.com,1,1
www.seattleweekly.com,1,1
www.sciencealert.com,1,1
www.sbsun.com,1,1
www.salamancapress.com,1,1
www.riverfronttimes.com,1,1
www.richmondregister.com,1,1
www.revealnews.org,1,1
www.restaurantbusinessonline.com,1,1
www.renewableenergymagazine.com,1,1
www.register-herald.com,1,1
www.redlandsdailyfacts.com,1,1
www.realclearenergy.org,1,1
www.queerty.com,1,1
www.purdue.edu,1,1
www.publicnewsservice.org,1,1
www.psychologytoday.com,1,1
www.popsci.com,1,1
www.polygon.com,1,1
www.philasun.com,1,1
www.petoskeynews.com,1,1
www.patriotledger.com,1,1
www.outsports.com,1,1
www.nybooks.com,1,1
www.nwestiowa.com,1,1
www.nujournal.com,1,1
www.njtvonline.org,1,1
www.njherald.com,1,1
www.newsrepublican.com,1,1
www.news8000.com,1,1
www.ncwlife.com,1,1
www.nbcwashington.com,1,1
www.naplesnews.com,1,1
www.mvtimes.com,1,1
www.muskogeephoenix.com,1,1
www.montanafreepress.org,1,1
www.modbee.com,1,1
www.militarynews.com,1,1
www.milforddailynews.com,1,1
www.middletownpress.com,1,1
www.metroweekly.com,1,1
www.medpagetoday.com,1,1
www.meadvilletribune.com,1,1
www.mcphersonsentinel.com,1,1
www.mauinews.com,1,1
www.macon.com,1,1
www.lowellsun.com,1,1
www.localdvm.com,1,1
www.libertyheadlines.com,1,1
www.ledger-enquirer.com,1,1
www.lareviewofbooks.org,1,1
www.kxro.com,1,1
www.kusi.com,1,1
www.ktep.org,1,1
www.ktbs.com,1,1
www.ksnt.com,1,1
www.kotatv.com,1,1
www.knbr.com,1,1
www.knau.org,1,1
www.kmvt.com,1,1
www.klif.com,1,1
www.kitco.com,1,1
www.kiplinger.com,1,1
www.kalonanews.com,1,1
www.jacksonprogress-argus.com,1,1
www.investopedia.com,1,1
www.insideindianabusiness.com,1,1
www.industryglobalnews24.com,1,1
www.independentnews.com,1,1
www.idahostatejournal.com,1,1
www.houstonpress.com,1,1
www.honolulumagazine.com,1,1
www.heraldnews.com,1,1
www.gulf-times.com,1,1
www.greenentrepreneur.com,1,1
www.greenbiz.com,1,1
www.gazettetimes.com,1,1
www.fox7austin.com,1,1
www.foodsafetynews.com,1,1
www.falloncountyextra.com,1,1
www.eurweb.com,1,1
www.elonnewsnetwork.com,1,1
www.educationdive.com,1,1
www.dmagazine.com,1,1
www.danspapers.com,1,1
www.dailyyonder.com,1,1
www.dailypress.com,1,1
www.dailybreeze.com,1,1
www.cyberscoop.com,1,1
www.cultofmac.com,1,1
www.columbiabasinherald.com,1,1
www.collegian.psu.edu,1,1
www.clevelandjewishnews.com,1,1
www.citynews1130.com,1,1
www.citybeat.com,1,1
www.cbssports.com,1,1
www.cbs7.com,1,1
www.cbs42.com,1,1
